date,kategori,title,mksa,isi
7/12/2021,Kesehatan,Tetap Waspada! Omicron Sudah Tersebar di 45 Negara,"Omicron memiliki risiko reinfeksi 3 kali namun risiko ini tidak selalu berkaitan dengan keparahan penyakit. Perlu diingat apapun variannya, atasinya tetap dengan 5M, 3T dan vaksinasi.","Masih banyak pembahasan mengenai varian COVID-19 baru ini. Per 6 Desember 2021, Omicron sudah dikonfirmasi tersebar di 45 negara! tapi walaupun begitu belum ada yang tau nih darimana si sebenernya asal si Omicron ini. Studi pendahuluan di Afrika Selatan membuktikan varian Omicron tiga kali lebih mungkin menyebabkan reinfeksi (infeksi ulang) pada individu yang terkena COVID-19 varian Alpha dan Delta yang sebelumnya juga menyerang Afrika. Kasus pertama di Malaysia dilaporkan pada 3 Desember 2021, namun pria tersebut telah sampai di Malaysia (sempat transit di Singapura) pada tanggal 19 November 2021, sebelum varian Omicron terdeteksi oleh WHO. Namun, perlu diingat bahwa risiko reinfeksi tidak selalu berkaitan dengan tingkat penyakit yang lebih parah. Sampai 3 Desember 2021, WHO melaporkan belum ada kematian yang dilaporkan dari kasus varian Omicron. Sebuah penelitian terbaru menduga kemungkinan Omicron mengambil potongan materi genetik dari virus penyebab flu biasa sehingga tubuh kita diduga dapat lebih beradaptasi dalam mengatasinya. Harus tetap waspada ya guys! Ingat apapun variannya, atasinya tetap dengan 5M, 3T dan vaksinasi!"
7/12/2021,Teknologi,"Fitur baru Whatsapp, Pesan yang menghilang secara default sesuai dengan durasi waktu!",Intinya… Whatsapp baru aja ngeluarin fitur baru yang berfungsi untuk menghilangkan pesan yang sudah dikirim secara default dengan durasi waktu yang udah ditentuin.,"Whatsapp baru aja nih ngumumin kalo mereka punya fitur baru yang tentunya dibuat untuk meningkatkan privasi para penggunanya. Jadi apa sih fitur barunya itu? Dilansir langsung dari postingan dari blog developer Whatsapp, pengguna Whatsapp sekarang akan memiliki opsi untuk mengaktifkan pesan yang menghilang secara default untuk semua obrolan baru, nah cara kerjanya saat waktu diaktifkan, semua obrolan dengan kontak yang ada di Whatsapp-kalian akan menghilang sesuai durasi yang kalian pilih. Diluar dari durasi 7 hari yang sudah pernah sebelumnya ada, untuk sekarang durasinya dapat di pilih mulai dari 24 jam hingga 90 hari lho! Selain itu opsi pesan menghilang ini juga dapat diaktifkan di grup Whatsapp, dan tentunya saat fitur ini diaktifkan, Whatsapp juga akan memberitahukannya ke anggota dari percakapan itu baik secara personal ataupun didalam grup. Lebih lengkap untuk cara kerjanya bisa di lihat di sini *hyperlink* Nah, menurut kalian gimana nih, apakah fitur baru Whatsapp ini berguna bagi kalian?"
8/12/2021,Teknologi,"Oke, Gedung Cyber 1 Kebakaran, Apa Dampaknya?","Intinya… kebakaran ini cukup berdampak, ada kemungkinan terlambatnya recovery data sampai waktu yang belum dapat ditentukan, dampak di sektor ekonomi, Pendidikan, namun yang terparah, memakan korban jiwa.","Seperti yang kita ketahui, kebakaran terjadi di lantai 2 Gedung Cyber 1, Jalan Kuningan Barat, Mampang, Jakarta Selatan pada Kamis (2/12) lalu. Kebakaran ini menyebabkan dua orang yang merupakan teknisi operasional server, tewas. Selain itu kebakaran ini menyebabkan banyak aplikasi digital tumbang, salah satu diantaranya newsletter Pukulenam.id yang harus berhenti beroperasi selama 5 hari. Mengenai akibat terganggunya operasional banyak aplikasi digital tersebut, melalui Kompas.com, ketua bidang koordinator IIX dan data center Asosiasi Penyelenggara Jasa Internet Indonesia (APJII) Syarif Lumintarjo memberikan keterangan. Diketahui sebenarnya saat kebakaran listrik belum mati, sehingga berbagai server dan data center masih berstatus operasional. Namun karena asap dari tempat kebakaran masuk ke sistem pendingin udara membuat ruang data center begitu pekat dengan asap, pihaknya berinisiatif mematikan sistem pendingin udara untuk mengantisipasi asap pekat yang ditimbulkan. Dengan dimatikannya AC, maka banyak perangkat yang mengalami high temperature, sehingga pukul 14.50 diputuskan untuk mematikan listrik semuanya, karena kita berpendapat untuk mengurangi kerusakan perangkat lebih jauh akibat high temperature” kata Syarif melalui Kompas.com. Dua jam kemudian, pihaknya berkoordinasi dengan tim engineering Gedung untuk menghidupkan kembali satu persatu miniature circuit breaker, yang disusul dengan pulihnya beberapa layanan, namun tidak semua layanan. Ada banyak layanan digital yang menggunakan Gedung Cyber 1 sebagai pusat data. Salah satu penyedia layanan web hosting, Rumahweb terdampak cukup parah akibat kebakaran ini. Kebakaran terjadi di ruang wing A Cyber DC yang merupakan tempat terpasangnya 72 unit server milik Rumahweb. Akibat kebakaran, semua server Rumahweb di data center tersebut tidak dapat diakses. Hal ini mengakibatkan banyak layanan usaha, situs web, dan virtual server tidak beroperasi dan data yang berada di dalam layanan VPS dan shared hosting harus melalui tahap recovery yang sampai saat ini belum mendapat kepastian dari Rumahweb. Selain Rumahweb, dampak yang cukup ditakutkan adalah kondisi server bursa efek Indonesia (BEI) yang juga berlokasi di Gedung Cyber 1. Melalui Tempo.co, BEI memastikan bahwa kebakaran ini tidak berdampak pada pusat data dan server BEI. ""Kejadian tersebut tidak berdampak pada Data Center Bursa Efek Indonesia dan operasional perdagangan BEI tetap berjalan dengan normal"" ujar Sekretaris Perusahaan PT BEI Yulianto Aji Santoso melalui tempo.co, Kamis, 2 Desember 2021. Sebagai informasi, banyak perusahaan-perusahaan besar di Indonesia menggunakan data center yang berada di dalam gedung tersebut. Sebagian di antaranya merupakan perusahaan-perusahaan yang tercatat di Bursa Efek Indonesia (BEI). Di sisi lain, aktivitas dua broker saham terganggu, salah satunya Indo Premier. Pihaknya memastikan gangguan hanya terjadi pada transaksi dan bukan pada dana nasabahnya. Sementara itu, menurut bisnis.com, pada pukul 14.25 WIB, IHSG masih ngebut naik 1,04 persen menjadi 6.575,52. Total transaksi saham mencapai Rp10,17 triliun. Selain dari sektor perdagangan dan teknologi informasi, sektor Pendidikan juga merasakan dampak dari kebakaran ini. Beberapa platform pembelajaran digital menggunakan layanan server atau hosting yang lokasi fisik servernya berada di Gedung Cyber 1 ini. Salah satu diantaranya adalah web pembelajaran daring Universitas Warmadewa yang dilaporkan mengalami down sejak 18.41 WITA pada hari kejadian (2/12). Selanjutnya web pembelajaran tersebut juga dilaporkan kerap mengalami gangguan sampai Senin (6/12) kemarin. Menurut salah satu mahasiswi Program Sarjana Pendidikan Dokter Universitas Warmadewa, Adissa Bestari, gangguan ini kerap menghambat efisiensi kegiatan belajar mengajar khususnya pembelajaran sinkron dan alur pengumuman. Namun tambahnya melalui pesan singkat, web universitasnya juga belum dapat sepenuhnya diandalkan sehingga ada kemungkinan ini tidak sepenuhnya diakibatkan oleh kebakaran Gedung Cyber 1."
8/12/2021,Kesehatan,Kebakar dikasi odol? Bener ga sih?,"Intinya… Enggak, gabener. Pake odol malah berpotensi memperparah luka bakar yang kalian alami. Pake air mengalir aja kalo ringan dan kalo berat hayuk mari ke dokter.","Luka bakar sering banget kita jumpai di kehidupan sehari-hari kita, baik yang ringan misal gasengaja megang panci panas atau yang berat seperti kesetrum listrik. Luka bakar dibagi jadi beberapa kategori berdasarkan tingkat keparahannya yaitu derajat 1 yang paling ringan hingga derajat 4 yang paling berat. Tapi derajat ini menggambarkan kedalaman luka bakar yang dialami, bukan luasnya, jadi derajat 1 cuma lapisa luar kulit dan derajat 4 udah sampe dalem banget. Kalo luasnya, biasanya dihitung menggunakan rule of nine kaya gambar dibawah ini. Nah, biasanya, ibu-ibu di rumah ngajarinnya kalo kita mengalami luka bakar itu diolesin odol atau madu biar cepet sembuh katanya. Tapi, ternyata oh ternyata cara ini kurang tepat loh! Berbagai penelitian telah membuktikan bahwa ternyata pemberian odol ataupun madu malah membuat luka bakar yang dialami menjadi tempat yang sangat cocok untuk pertumbuhan kuman. Pertumbuhan kuman merupakan salah satu sebab dari infeksi yang membuat penyembuhan luka bakar menjadi sangat terhambat. Berdasarkan berbagai penelitian, penanganan pertama luka bakar yang paling baik adalah dengan air mengalir. Jadi, stop oles odol atau madu, kasih air mengalir aja udah cukup, sampein ke ibu ibu kalian dirumah ya guys!!"
9/12/2021,Teknologi,"Belum tuntas perkara kebakaran Gedung Cyber 1, Server Amazon ikut-ikutan down","Intinya… Server Amazon Web Service us-east 1 juga mengalami down, padahal baru aja kita ganti server akibat kebakaran Gedung Cyber 1. Karena banyak sekali perangkat Internet of Things, server, dan layanan internet yang bergantung pada server us-east 1, dampaknya lebih masif. Mulai dari layanan internet sampai vacuum cleaner dan bel rumah berhenti beroperasi.","Masih segar di ingatan khususnya para cloud developer dan engineer tentang insiden kebakaran Gedung Cyber 1 di Jakarta Selatan, Kamis (2/12) lalu. Alih-alih memindahkan layanan ke server yang lebih ‘mahal’ dan dapat diandalkan seperti Amazon Web Service (AWS), kemarin (7/12) pada 22.45 Waktu Indonesia Barat, pusat komputasi AWS dengan kode us-east 1 dilaporkan mengalami gangguan hebat. Gangguan ini berdampak ke banyak pengguna layanan Amazon di seluruh dunia. Layanan sampingan Amazon seperti IMDb dan bel rumah cerdas, Ring mengalami mati total sehingga sama sekali tidak dapat digunakan. Selain itu para pemain game online PUBG, Valorant, League of Legends, Clash of Clans, Dead by Daylight, dan Destiny 2 juga melaporkan gangguan koneksi ke server game. Tidak hanya itu, menurut DownDetector, berbagai situs dan aplikasi seperti Public.com, situs NFT RECUR, CB Explorer, portal berita Protocol, program multimedia ReelCrafter v2, ConnectWise, PukulEnam Newsletter, Splunk's Rigor, M1 Finance, Duolingo, Disney+, Tinder, Instacart, Venmo, Robinhood, Roku, Kindle, dan aplikasi pemesan makanan cepat saji McDonalds app juga ikut menambah daftar panjang situs dan aplikasi terdampak. Amazon melalui situs resminya sempat memberikan keterangan berikut : “[11:26 PST] Kami melihat dampak pada beberapa AWS API di Wilayah US-EAST-1. Masalah ini juga memengaruhi beberapa alat pemantauan dan respons insiden kami, yang menunda kemampuan kami untuk memberikan pembaruan. Layanan yang terpengaruh meliputi: EC2, Connect, DynamoDB, Glue, Athena, Timestream, dan Chime serta Layanan AWS lainnya di US-EAST-1. Akar penyebab masalah ini adalah kerusakan beberapa perangkat jaringan di Wilayah US-EAST-1. Kami sedang mengejar beberapa jalur mitigasi secara paralel, dan telah melihat beberapa tanda pemulihan, tetapi kami tidak memiliki waktu perkiraan untuk pemulihan penuh saat ini. Login root untuk konsol di semua wilayah AWS dipengaruhi oleh masalah ini, namun pelanggan dapat login ke konsol selain US-EAST-1 dengan menggunakan peran IAM untuk autentikasi.” Sebagai tambahan, akar masalah utama datang dari pusat komputasi US-EAST-1 AWS region di Viriginia Utara, AS. Orang-orang disekitar wilayah Amerika Timur yang akan merasakan dampak terbesarnya. Kita? Tentu merasakan dampaknya pula, namun biasanya secara otomatis, request kita akan dialihkan ke pusat komputasi yang lain, US-EAST-2 misalnya. Untuk kalian engineer dan developer yang masih ingin mengakses AWS, mereka telah memberikan keterangan mengenai masalah pada konsol di US-EAST-1. Sementara konsol AWS dapat diakses melalui US-WEST-2."
9/12/2021,Kesehatan,Penangkapan Siskaeee: Mengenal apa itu eksibisionisme,Intinya… Eksibisionisme itu adalah suatu kelainan seksual. Orang dengna kelainan ini bakal merasa mendapatkan kepuasan seksual dengan memamerkan alat kelaminnya kepada orang. Tujuannya bisa untuk membuat orang lain kaget saja atau bahkan berharap untuk berhubungan seksual dengna si penderita kelainan ini.,"Jagat dunia maya dihebohkan dengan penangkapan perempuan yang dikenal sebagai siskaeee karena aksi memamerkan payudara dan alat kelaminnya di Bandara Internasional Yogyakarta serta selanjutnya menyebarkan video tersebut di media sosial. Siskaeee diduga mengalami kelainan seksual yang disebut sebagai eksibisionisme berdasarkan perilaku tersebut. Lalu, apa sebenarnya eksibisionisme itu? Eksibisionisme adalah kelainan seksual yang ditandai dengan kecenderungan seseorang untuk mendapatkan kenikmatan seksual dari memperlihatkan alat kelaminnya ke orang lain yang menganggap perilaku tersebut tidak senonoh. Beberapa penderita kelainan ini memang sengaja dan secara sadar melakukan ini untuk membuat orang lain kaget, sedangkan beberapa lainnya berharap bahwa orang lain terangsang untuk melakukan hubungan seksual dengannya. Penyebab terjadinya kelainan ini belum diketahui secara pasti. Namun, berbagai ahli menduga bahwa kondisi ini disebabkan oleh perlakuan tidak menyenangkan di masa kecil (yang melibatkan pelecehan seksual) dan keluarga yagn tidak harmonis. Terdapat juga dugaan lain dari aspek biologis yaitu kelebihan hormon seksual. Sejauh ini, terapi yang bisa diberikan kepada orang yang memiliki kondisi ini adalah psikoterapi dengan dokter spesialis, terapi perilaku kognitif atau cognitive behavioural therapy, dan pemberian obat."
10/12/2021,Kesehatan,#SaveNoviaWidyasari,"Intinya… Novia Widyasari merupakan salah satu korban pelecehan seksual. Pelecehan seksual ini memiliki sejumlah dampak buruk terhadap kondisi psikologis korban, seperti depresi yang dialami Novia, trauma, cemas, ketakutan, emosi yang tidak stabil, malu, minder dan diasingkan oleh teman, keluarga, kerabat serta masyarakat sekitar.","Nama Novia Widyasari belakangan ini sering dibahas di jagat Indonesia. Bukan tanpa alasan, Novia Widyasari merupakan salah satu korban pemerkosaan dan pemaksaan aborsi oleh pacarnya sendiri, Bripda Randy Bagus. Bahkan setelah diusut, Novia Widyasari sempat juga menjadi korban pelecehan seksual oleh kakak kelasnya. “Pada awal Januari 2020, Novia Widyasari Rahayu melaporkan kasus pelecehan seksual yang menimpanya kepada fungsionaris Fakultas Ilmu Bahasa UB”, kata pihak Universitas Brawijaya dalam jumpa pers yang diunggah di akun resmi bercentang biru milik UB pada Minggu, 5 Desember 2021. Namun, dulunya kasus ini dirahasiakan agar korban dapat menjalani kegiatan akademik seperti biasanya. Novia Widyasari dikabarkan mengalami depresi sebelum memutuskan mengakhiri hidup dengan dugaan bunuh diri. Miris dan kompleks ya, guys. Oleh karena itu, dunia maya belakangan dipenuhi dengan tagar #SaveNoviaWidyasari agar kasus Novia diusut hingga tuntas dan mendapat keadilan serta mencegah kasus seperti ini terulang di kemudian hari. Pelecehan seksual menjadi salah satu topik yang marak diperbincangkan karena beberapa kasus yang terangkat ke publik akhir-akhir ini. Kasus- kasus ini ibarat fenomena gunung es yang telah terpendam sekian lama dan menjadi PR bagi bangsa Indonesia untuk menguak dan menjamin tempat aman untuk melaporkan kasus-kasus sejenis yang masih tersembunyi. Sebenarnya tindakan seperti apa sih yang termasuk pelecehan seksual? Pelecehan seksual adalah perilaku atau perhatian yang bersifat seksual yang tidak diinginkan dan tidak dikehendaki dan berakibat mengganggu diri penerima pelecehan. Pelecehan seksual mencakup, tetapi tidak terbatas pada bayaran seksual bila menghendaki sesuatu, pemaksaan melakukan kegiatan seksual, pernyataan merendahkan tentang orientasi seksual, ucapan atau perilaku yang berkonotasi seksual; semua dapat digolongkan sebagai pelecehan seksual. Tindakan ini dapat dilakukan secara langsung atau implisit. Nah, selanjutnya apa saja dampak psikologis pada korban pelecehan seksual? Pelecehan seksual ini tentunya dapat menyebabkan trauma mendalam pasca kejadian pada korban. Selain itu, sejumlah dampak buruk lainnya yang dapat ditimbulkan, seperti depresi yang dialami Novia, cemas, ketakutan, emosi yang tidak stabil, malu, minder dan diasingkan oleh teman, keluarga, kerabat serta masyarakat sekitar. Yuk kita #KawalKasusNoviaWidyasari bersama-sama agar pelaku mendapatkan hukuman yang sesuai dan ke depannya kita dapat mencegah terjadinya kasus-kasus seperti ini."
10/12/2021,Kesehatan,Penangkapan Jeff Smith: Apa sebenarnya efek LSD yang dia konsumsi?,"Intinya… LSD itu salah satu jenis narkotika yang membuat penggunanya jadi halusinasi. Si Jeff Smith bilang sih kalo dia mengonsumsi ini untuk membantu dia buat fokus kerja, padahal sebenenrnya malah bikin halu, jauh jauh deh ya guys dari barang-barang macem begini.","Aktor Jeff Smith Kembali ditangkap polisi atas kasus penyalahgunaan narkotika. Jeff smith diketahui mengonsumsi narkotika jenis Lysergic Acid Diethylamide atau yang biasa disingkat sebagai LSD. Apa sebenarnya itu LSD? Menurut laman resmi Badan narkotika Nasional, LSD adalah narkotika sintetis yang dibuat dari ergot/jamur kering. Didalamnya terdapat kandungan asam lysergic, nah ini kemudian diolah menjadi narkotika LSD. LSD sendiri memiliki sifat halusinogen yang artinya bila orang mengkonsumsi obat tersebut, mereka akan merasakan halusinasi serta gangguan persepsi terhadap lingkungan sekitarnya. Selain itu, LSD juga sangat dikenal karena memiliki efek psikologis untuk meningkatkan kemampuan berpikir dan visualisasi/halusinasi. Jeff smith mengaku menggunakan narkotika jenis ini untuk membantunya fokus dalam bekerja. Padahal, seperti narkotika jenis lain, LSD justru memberikan dampak buruk. Efek samping LSD adalah gelisah, perasaan tidak nyaman, distorsi persepsi terhadap waktu serta menyebabkan perubahan fisik lain seperti gangguan funsi system saraf, gangguan perilaku, mual, sulit tidur, dan tremor. Efek halusinasi yang dirasakan oleh pengguna narkotika jenis ini bisa berlangsung sekitar 6-8 jam setelah dikonsumsi. Berdasarkan penelitian sejauh ini, efek kecanduan yang disebabkan oleh LSD sebenarnya bukan merupakan efek dari LSD terhadap aspek fisik pengguna, melainkan disebabkan oleh efek dari LSD terhadap aspek psikologis dari pengguna. Pengguna LSD akan terus-menerus menginginkan rasa yang sama sehingga secara tidak sadar akan secara rutin mengkonsumsi LSD dan, pada Sebagian besar kasus, mengkonsumsi dengan dosis yang perlahan meningkat dikarenakan efek yang dirasakan semakin berkurang pada dosis yang sama."
11/12/2021,Kesehatan,"PPKM Level 3 Saat Nataru Batal, Kenapa Ya?","Intinya… PPKM Level 3 Saat Nataru Batal dikarenakan kasus konfirmasi COVID-19 di Indonesia stabil di bawah 400 kasus, capaian vaksinasi yang dianggap mumpuni, dan kekhawatiran penyekatan- penyekatan yang berakibat pada roda perokonomian daerah.","Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) level 3 batal diterapkan di seluruh Indonesia pada momen Natal 2021 dan Tahun Baru 2022 (24 Desember 2021 s.d.2 Januari 2022). Hal ini diungkapkan oleh Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves), Bapak Luhut Binsar Pandjaitan pada 6 Desember 2021. Sebagai gantinya, penerapan aturan akan dilakukan sesuai keadaan masing- masing daerah. “Penerapan level PPKM selama Nataru akan mengikuti asesmen situasi pandemi yang berlaku disertai beberapa pengetatan. Pemerintah memutuskan untuk membuat kebijakan yang lebih seimbang dengan tidak menyamaratakan perlakuan di semua wilayah”, terang Luhut. Mengapa PPKM Level 3 Dibatalkan? 1. Kasus konfirmasi COVID-19 harian di Indonesia telah ditekan dan relatif stabil di bawah angka 400 kasus 2. Capaian vaksinasi dosis pertama di Jawa-Bali sudah mencapai 76%; dosis kedua mendekati 56% Wakil Presiden Maruf Amin juga menambahkan dalam keterangan pers Jumat (10/12/2021), “Kita tidak ingin penggunaan level 3 itu kemudian menyebabkan penyekatan yang nantinya dapat mengurangi mobilitas yang bisa mempengaruhi ekonomi.” Meskipun dibatalkan, beberapa peraturan tetap berlaku di masa Nataru.... 1. Pemerintah melarang semua jenis perayaan tahun baru di hotel, pusat perbelanjaan, mal, tempat wisata, dan tempat keramaian umum lainnya. 2. Operasional pusat perbelanjaan, restoran, bioskop, dan tempat wisata hanya diizinkan dengan kapasitas maksimal 75 persen dengan kategori hijau di aplikasi Peduli Lindungi. 3. Acara sosial budaya, kerumunan masyarakat yang diizinkan berjumlah maksimal 50 orang dan menggunakan aplikasi Peduli Lindungi. 4. Syarat untuk penumpang dari luar negeri adalah hasil tes PCR negatif maksimal 2x24 jam sebelum keberangkatan, serta melakukan karantina selama 10 hari di Indonesia. 5. Syarat perjalanan jarak jauh dalam negeri adalah wajib vaksinasi lengkap dan hasil antigen negatif maksimal 1x24 jam sebelum keberangkatan. Upaya lainnya yang dipercaya dapat mendukung Indonesia menghadapi momen Nataru adalah penguatan testing, tracing and treatment (3T) dan percepatan vaksinasi dalam satu bulan terakhir. Gimana nih menurut kalian? Kalau kalian tim setuju dengan pembatalan PPKM level 3 atau nggak nih?"
11/12/2021,Teknologi,Binance kerja sama dengan BCA dan Telkom?,"Intinya… Binance ini lagi ngomongin kerja sama dengan BCA dan Telkom untuk membuat bursa crypto di Indonesia, gitu sih yang dikatakan sama Bloomberg. Kalo ini sampai jadi, bisa menjadikan kemitraan 3 perushaan ini menjadi yang terbesar di Asia pada industri crypto loh…","Apa sih yang terjadi antara ketiga perushaan tersebut? Apa sih yang terjadi antara ketiga perusahaan tersebut? Jadi ketiga perusahaan tersebut, yaitu Binance, BCA dan Telkom. Binance yang dipimpin oleh Bang CZ (Changpeng Zhao) dirumorkan sedang berdikusi dengan keluarga terkaya di Indonesia saat ini, Duo Hartono (Budi dan Michael Hartono) dan salah satu perusahaan BUMN, Telkom. Bloomberg menyebutkan bahwa Binance Holdings sedang dalam pembiacaraan dengan PT Bank Central Asia Tbk (BCA) dan juga PT Telkom Indonesia Tbk (Telkom). Nah yang dibicarain waktu pertemuan itu membahas tentang rencana mendirikan bursa crypto. Kalau pendirian bursa crypto oleh ketiga perusahaan ini benar-benar terjadi, maka akan menjadi kemitraan yang terbesar di Asia dalam industri crypto, wow. Bener ga sih kayak gitu? Secara umum juru bicara Binance menyampaikan bahwa pihaknya mendukung industri crypto secara global bertumbuh dan terus mencari peluang bisnis. Tetapi jubir Binance menolak untuk berkomentar soal rumor tersebut. Sedangkan pihak Telkom sendiri sedang melakukan studi bermitra dengan perushaan berpengaruh untuk membuka peluang baru melalui MDI Ventures, dengan melihat peluang pasar crypto serta blockchain di Indonesia, begitu sih menurut Wakil Presiden Senior Telkom Indonesia, Ahmad Reza. Lain lagi menurut BCA, pada rapat dewan belum ada membahas hal-hal seperti itu, namun bos BCA sendiri mengakui bahwa transaksi digital untuk crypto melesat tajam sepanjang tahun 2021 sebesar 306% melebihi saham. Pemerintah Indonesia sendiri mendukung crypto aset dan mengakui crypto sebagai komoditas. Crypto tidak diperbolehkan menjadi mata uang karena mata uang legal di Indonesia adalah Rupiah. Sebelumnya Indonesia juga memiliki salah satu bursa crypto terbesar yaitu Tokocrypto yang didukung oleh Binance. Bagaimana reaksi perdagangan saham BCA (BBCA) dan Telkom (TLKM) pada tanggal 10 Desember 2021 saat berita ini beredar? Pada perdagangan tanggal 10 Desember 2021 BBCA (Bank BCA) naik sebesar 0,68% dari Rp 7325 menjadi Rp 7375 walaupun pada perdagangan pagi mengalami penurunan sampai Rp 7275 namun berhasil menguat di perdagangan siang hari ini. Sedangkan TLKM (Telkom) dibuka dengan harga Rp 4070 dan sampai akhir perdagangan menguat 1,97% menjadi Rp 4150. Jadi rumor ini memberikan pengaruh yang lumayan kepada kedua perusahaan tersebut terbukti dengan menguatnya harga saham kedua perusahaan tersebut pada 10 Desember 2021 saat berita dari Bloomberg keluar."
